Count,Name,BLDG_CH,BLDG_NUM,CITY_CODE,Layer,NUM_APTS_C,NUM_FLOORS,Position X,Position Y,Position Z,STREET_COD,STRT_TYPE,Closed,Length,Area
1,Polyline,,,,chelkot lines,,,,,,,,-1,119.1687,310.7941
1,Polyline,,,,chelkot lines,,,,,,,,-1,189.1719,1899.1432
1,Polyline,,,,chelkot lines,,,,,,,,-1,120.5537,673.1973
1,Polyline,,,,chelkot lines,,,,,,,,-1,324.9155,1977.4858
1,Polyline,,,,chelkot lines,,,,,,,,-1,383.7404,2382.8888
1,Polyline,,,,chelkot lines,,,,,,,,-1,61.3215,86.4741
1,Polyline,,,,chelkot lines,,,,,,,,-1,102.7043,654.0600
1,Polyline,,,,chelkot lines,,,,,,,,-1,62.4714,84.3103
1,Polyline,,,,chelkot lines,,,,,,,,-1,102.2899,616.0065
1,Polyline,,,,chelkot lines,,,,,,,,-1,107.6025,711.9839
1,Polyline,,,,chelkot lines,,,,,,,,-1,123.9753,952.0115
1,Polyline,,,,chelkot lines,,,,,,,,-1,71.2552,154.7285
1,Polyline,,,,chelkot lines,,,,,,,,-1,159.3325,1384.9105
1,Polyline,,,,chelkot lines,,,,,,,,-1,191.0267,1884.4032
1,Polyline,,,,chelkot lines,,,,,,,,-1,27.5406,32.4709
1,Polyline,,,,chelkot lines,,,,,,,,-1,161.4327,1385.2321
1,Polyline,,,,chelkot lines,,,,,,,,-1,61.6663,83.0828
1,Polyline,,,,chelkot lines,,,,,,,,-1,92.2451,540.3300
1,Polyline,,,,chelkot lines,,,,,,,,-1,112.7681,147.2908
1,Polyline,,,,chelkot lines,,,,,,,,-1,110.6633,791.2654
1,Polyline,,,,chelkot lines,,,,,,,,-1,137.3194,1116.8895
1,Polyline,,,,chelkot lines,,,,,,,,-1,106.0684,537.9490
1,Polyline,,,,chelkot lines,,,,,,,,-1,313.8969,1275.9193
1,Polyline,,,,chelkot lines,,,,,,,,-1,113.8072,811.1770
1,Polyline,,,,chelkot lines,,,,,,,,-1,139.3946,1194.7753
1,Polyline,,,,chelkot lines,,,,,,,,-1,162.2356,1333.3836
1,Polyline,,,,chelkot lines,,,,,,,,-1,157.5317,1589.9313
1,Polyline,,,,chelkot lines,,,,,,,,-1,229.5921,275.8138
1,Polyline,,,,chelkot lines,,,,,,,,-1,63.6856,102.2533
1,Polyline,,,,chelkot lines,,,,,,,,-1,232.3112,1658.0964
1,Polyline,,,,chelkot lines,,,,,,,,-1,198.4402,228.7624
1,Polyline,,,,chelkot lines,,,,,,,,-1,83.9260,122.7955
1,Polyline,,,,chelkot lines,,,,,,,,-1,106.5044,706.6804
1,Polyline,,,,chelkot lines,,,,,,,,-1,155.3383,1330.7282
1,Polyline,,,,chelkot lines,,,,,,,,-1,93.4755,545.2287
1,Polyline,,,,chelkot lines,,,,,,,,-1,89.8332,494.6646
1,Polyline,,,,chelkot lines,,,,,,,,-1,100.4324,197.7830
1,Polyline,,,,chelkot lines,,,,,,,,-1,179.5799,1663.1655
1,Polyline,,,,chelkot lines,,,,,,,,-1,88.9432,487.9787
1,Polyline,,,,chelkot lines,,,,,,,,-1,120.3121,791.2231
1,Polyline,,,,chelkot lines,,,,,,,,-1,157.1155,1258.6024
1,Polyline,,,,chelkot lines,,,,,,,,-1,89.0421,152.0877
1,Polyline,,,,chelkot lines,,,,,,,,-1,79.0549,384.2185
1,Polyline,,,,chelkot lines,,,,,,,,-1,171.9519,353.8503
1,Polyline,,,,chelkot lines,,,,,,,,-1,116.1805,825.4578
1,Polyline,,,,chelkot lines,,,,,,,,-1,100.4053,615.3330
1,Polyline,,,,chelkot lines,,,,,,,,-1,65.0863,59.0685
1,Polyline,,,,chelkot lines,,,,,,,,-1,156.4908,1263.8345
1,Polyline,,,,chelkot lines,,,,,,,,-1,102.3369,645.0532
1,Polyline,,,,chelkot lines,,,,,,,,-1,52.4618,161.7133
1,Polyline,,,,chelkot lines,,,,,,,,-1,114.5898,711.0121
