Count,Name,BLDG_CH,BLDG_NUM,CITY_CODE,Layer,NUM_APTS_C,NUM_FLOORS,Position X,Position Y,Position Z,STREET_COD,STRT_TYPE,Closed,Length,Area
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,Polyline,,,,chelkot lines,,,,,,,,-1,147.1682,1339.9963
1,Polyline,,,,chelkot lines,,,,,,,,-1,151.8784,1235.7357
1,Polyline,,,,chelkot lines,,,,,,,,-1,331.1104,1727.3408
1,Polyline,,,,chelkot lines,,,,,,,,-1,119.7677,763.2829
1,Polyline,,,,chelkot lines,,,,,,,,-1,34.4495,42.3734
1,Polyline,,,,chelkot lines,,,,,,,,-1,468.4816,5074.3409
1,Polyline,,,,chelkot lines,,,,,,,,-1,168.6570,783.6317
1,Polyline,,,,chelkot lines,,,,,,,,-1,784.4061,8136.5920
1,Polyline,,,,chelkot lines,,,,,,,,-1,132.9149,1088.7656
1,Polyline,,,,chelkot lines,,,,,,,,-1,777.3079,4017.7644
1,Polyline,,,,chelkot lines,,,,,,,,-1,139.2989,1133.6324
1,Polyline,,,,chelkot lines,,,,,,,,-1,19.2584,20.1294
1,Polyline,,,,chelkot lines,,,,,,,,-1,108.5751,150.7234
1,Polyline,,,,chelkot lines,,,,,,,,-1,85.8276,437.8289
1,Polyline,,,,chelkot lines,,,,,,,,-1,25.4083,29.4966
1,Polyline,,,,chelkot lines,,,,,,,,-1,111.5956,690.7110
1,Polyline,,,,chelkot lines,,,,,,,,-1,117.4587,758.2259
1,Polyline,,,,chelkot lines,,,,,,,,-1,90.3811,70.1998
1,Polyline,,,,chelkot lines,,,,,,,,-1,84.2416,50.0704
1,Polyline,,,,chelkot lines,,,,,,,,-1,678.9770,6502.0069
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
1,MText,,,,chelkot numbers,,,,,,,,,,
