Name,BLDG_CH,BLDG_NUM,NUM_APTS_C,NUM_FLOORS,Position X,Position Y,Position Z,STREET_COD
Attribute Definition,,,,,180179.7000,654679.7099,63.5900,
Attribute Definition,,,,,180179.7000,654678.4260,63.5900,
4402,,,,,180125.6700,654646.1400,64.5800,
Attribute Definition,,,,,180179.7000,654682.2603,63.5900,
Line,,,,,,,,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180125.6700,654644.8399,64.5800,
Attribute Definition,,,,,180125.6700,654643.5560,64.5800,
4402,,,,,180175.1100,654595.7700,62.5300,
Attribute Definition,,,,,180125.6700,654647.3903,64.5800,
Line,,,,,,,,
Line,,,,,,,,
Circle,,,,,,,,
4402,,,,,180179.7000,654681.0100,63.5900,
Attribute Definition,,,,,179986.5700,654624.8403,62.5000,
Attribute Definition,,,,,179986.5700,654622.2899,62.5000,
Attribute Definition,,,,,179986.5700,654621.0060,62.5000,
Circle,,,,,,,,
4402,,,,,179986.5700,654623.5900,62.5000,
Line,,,,,,,,
Line,,,,,,,,
Attribute Definition,,,,,179946.7400,654502.2603,60.7600,
Attribute Definition,,,,,179946.7400,654499.7099,60.7600,
Attribute Definition,,,,,179946.7400,654498.4260,60.7600,
Circle,,,,,,,,
4402,,,,,179946.7400,654501.0100,60.7600,
Line,,,,,,,,
Line,,,,,,,,
Attribute Definition,,,,,180072.0300,654378.9399,61.8200,
Line,,,,,,,,
Line,,,,,,,,
Circle,,,,,,,,
4402,,,,,180029.0400,654553.6100,64.4000,
Attribute Definition,,,,,180009.1100,654555.0503,63.9300,
Attribute Definition,,,,,180009.1100,654552.4999,63.9300,
Attribute Definition,,,,,180009.1100,654551.2160,63.9300,
Line,,,,,,,,
Line,,,,,,,,
Circle,,,,,,,,
4402,,,,,180110.1600,654530.9700,64.2500,
Attribute Definition,,,,,180029.0400,654554.8603,64.4000,
Attribute Definition,,,,,180029.0400,654552.3099,64.4000,
Attribute Definition,,,,,180029.0400,654551.0260,64.4000,
Circle,,,,,,,,
4402,,,,,180059.6800,654536.8500,64.9300,
Line,,,,,,,,
Line,,,,,,,,
Attribute Definition,,,,,180078.0700,654529.0460,64.9500,
Circle,,,,,,,,
Attribute Definition,,,,,180078.0700,654532.8803,64.9500,
Attribute Definition,,,,,180078.0700,654530.3299,64.9500,
4402,,,,,180009.1100,654553.8000,63.9300,
Line,,,,,,,,
Line,,,,,,,,
Attribute Definition,,,,,180059.6800,654534.2660,64.9300,
Circle,,,,,,,,
Attribute Definition,,,,,180059.6800,654538.1003,64.9300,
Attribute Definition,,,,,180059.6800,654535.5499,64.9300,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180064.8900,654369.1903,61.3300,
Line,,,,,,,,
Attribute Definition,,,,,180074.4100,654393.1799,62.5600,
Attribute Definition,,,,,180074.4100,654391.8960,62.5600,
4402,,,,,180064.8900,654367.9400,61.3300,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180072.0300,654381.4903,61.8200,
Line,,,,,,,,
Attribute Definition,,,,,180064.8900,654366.6399,61.3300,
Attribute Definition,,,,,180064.8900,654365.3560,61.3300,
4402,,,,,180072.0300,654380.2400,61.8200,
Attribute Definition,,,,,180074.4100,654395.7303,62.5600,
Line,,,,,,,,
Line,,,,,,,,
Circle,,,,,,,,
4402,,,,,179978.3700,654553.3600,63.0300,
Attribute Definition,,,,,180110.1600,654532.2203,64.2500,
Attribute Definition,,,,,180110.1600,654529.6699,64.2500,
